,start_mnth_day,count,alive_time
42,2020-01-01,4.147188449360292,10.0
43,2020-01-02,3.616963084087335,3.699036171695699
44,2020-01-03,1.9699314249883013,1.5129432190426044
45,2020-01-04,2.1262619577639317,3.7155323243599927
46,2020-01-05,1.8679640459144078,5.008219675786467
47,2020-01-06,2.5902817760150314,3.351656418718571
48,2020-01-07,2.7463608755190942,1.612686442609013
49,2020-01-08,2.4862674722302995,1.5708240382827179
50,2020-01-09,1.5454198134973798,1.6740934938863505
51,2020-01-10,2.4266266848577183,1.6095877402147305
52,2020-01-11,3.77680391734554,3.309237667988591
53,2020-01-12,2.7178946851263315,6.709268330434868
54,2020-01-13,2.130297689314013,4.55944946759373
55,2020-01-14,2.1150758318291025,2.5084021239348053
56,2020-01-15,2.295555335746328,1.543799904766883
57,2020-01-16,3.864052684713362,4.866542539376976
58,2020-01-17,1.5101265271572917,1.589326993790574
59,2020-01-18,2.974576104788741,2.972212449673342
60,2020-01-19,2.2039166306811486,1.6610145354499917
61,2020-01-20,2.3763674303238065,3.689971326099069
62,2020-01-21,3.29228034153702,1.973577755191453
63,2020-01-22,7.4330416938084864,2.2916253231639745
64,2020-01-23,7.235775700701722,3.2528808423155544
65,2020-01-24,8.519902493570509,3.09653837413266
66,2020-01-25,9.013413955557235,2.2602787280267873
67,2020-01-26,10.0,9.176216815040078
68,2020-01-27,9.77595105417144,3.486824758642269
69,2020-01-28,6.127381518446674,3.620279937078586
70,2020-01-29,5.329687847963572,3.755445234086676
71,2020-01-30,5.562388487518987,3.1250880226733715
72,2020-01-31,5.81761866695218,1.5808027728669893
73,2020-02-01,5.685059481366164,2.2336293802833542
74,2020-02-02,6.0761950326171625,3.322752777662117
75,2020-02-03,5.231561652523751,5.98705766847444
76,2020-02-04,4.495608787122589,1.8849726170560173
77,2020-02-05,4.142879383676753,3.2214830247656274
78,2020-02-06,6.610080022431033,1.7141996287541517
79,2020-02-07,5.677997448900383,1.5873714133597474
80,2020-02-08,4.483053620297325,1.7089064770538034
81,2020-02-09,4.279908336075761,2.4287426505346814
82,2020-02-10,5.363439256741254,1.8016565734001184
83,2020-02-11,4.580162041917283,1.54019962844986
84,2020-02-12,5.243069844379965,1.6605895415700545
85,2020-02-13,5.02447791071011,1.331708179727375
86,2020-02-14,7.208763499997027,1.420562329790077
87,2020-02-15,5.149346859887132,3.5587040039850013
88,2020-02-16,5.754308205292535,2.5817977555555878
89,2020-02-17,3.1715156707635277,2.792127125305387
90,2020-02-18,3.772499212872595,2.2439169708018554
91,2020-02-19,4.723543856016112,1.971577038179106
92,2020-02-20,4.75927534921185,1.7956899230451706
93,2020-02-21,5.1325026320616995,2.4314128089808196
94,2020-02-22,5.4797719894632015,1.9248982055977357
95,2020-02-23,4.833233896151668,1.6150614382411614
96,2020-02-24,4.197095678352224,1.4997947806998615
97,2020-02-25,4.393026761781888,1.5165363952232103
98,2020-02-26,2.8427158506046837,1.8037861071732106
99,2020-02-27,5.105708586695572,2.127251079233413
100,2020-02-28,4.9530319899253,1.2330614200850987
101,2020-02-29,4.451427922447929,1.3369455446415741
102,2020-03-01,5.846031100683941,1.3131494374333692
103,2020-03-02,4.7811083279108155,1.2883111316293765
104,2020-03-03,3.7601388783901175,1.2927624100114752
105,2020-03-04,2.9168440107129916,1.4141072914800235
106,2020-03-05,3.537807396254788,1.4187903386009402
107,2020-03-06,0.0,0.0
